X,Y,u_1,d_u_x
-4239222.89956784,-9283813.53638004,-79889591.35641189,4.360189913730987
-3167931.4589726776,-8480174.55817163,-93339316.61277787,4.22273066195144
-2263347.472331274,-7704081.383350406,-106895666.70740812,3.8863571037797455
-6074304.138327856,-14312047.773564704,-32190689.661336955,1.964762796803738
-5045192.497140623,-15926227.326094532,-22276540.51955933,1.091407690632766
-4031131.205516394,-17522922.779753253,-11503901.335524486,0.4404621663621495
-3017842.1052630832,-19113000.0,0.0,-0.0007452192145779671
-10969038.289182872,-4227749.420283034,-63635823.93133546,9.191829763600389
-12676361.546448372,-5091429.779965842,-46626523.525153615,7.966452606209863
-14326846.974390753,-4045794.3188323,-35571172.17509583,7.895596781367648
-15900877.943821928,-3023446.904069672,-24308634.965611905,7.797080432779329
-17506018.111957934,-2019319.7683743837,-12318374.143695297,7.72832257078309
-19113000.0,-1005947.3684211076,0.0,7.749544607901576
-9734771.453844216,-2875568.6909606457,-80133917.73138596,10.893967535698543
-8740525.534279488,-1911361.8321632987,-94465641.22771156,12.5377157030242
-7909088.486756663,-1146483.3628944117,-107326383.4776237,14.174012666352178
-1137471.2515895031,-7933912.118288469,-106992733.0417424,1.956215275719772
-5118512.916797831,-12729450.051472403,-46136858.13302571,2.490079297225408
-4231477.216337365,-10993676.0214839,-63398048.104809776,3.0933927547847087
-2852329.4760813243,-9828802.65215876,-79181216.61582665,2.889979411272728
-1895440.3717787496,-8826882.917453064,-93428380.19602324,2.5298832870762835
-4074265.490646517,-14351267.856890164,-35337169.67425402,1.4473423715455498
-3036199.023463489,-15950006.665740866,-23916867.495476156,0.7043289279219028
-2029668.0692230733,-17528431.751277067,-12142752.26429957,0.2337053433000787
-1005947.3684209884,-19113000.0,0.0,-0.0005970640179970843
-17508197.867213234,-7087.251035685122,-12541746.63195474,7.881558345462163
-19113000.0,1005947.3684209884,0.0,7.749493099911923
-11172659.510554928,-2216108.1141839614,-66583569.7519379,10.086309132437632
-12705391.515483793,-3009238.9997248477,-50748322.86006621,8.892519783934503
-14274819.297213634,-1991019.8534771767,-38309646.96294167,8.494981099982235
-15898875.336468212,-1009728.9917850768,-25303034.185285836,8.13175869953337
-9886365.604373196,-1422482.0716402945,-81711881.12566517,11.475502356077117
-8939164.793782353,-656275.2729019297,-94135723.3699907,12.80703708574309
-8006309.838121898,-11836.56037669578,-107076785.0968505,14.306897052591053
524.521155795966,-8002175.002570681,-107135942.59005426,-0.0012814162247349
-609292.9754630167,-8963189.316146944,-93868022.3088653,0.8195880354004492
-3166955.5441899635,-12802308.801218651,-49630429.90396176,1.6735275289937348
-2240026.129636489,-11338150.586019704,-64884359.84787041,1.6848651722340893
-1339878.780194821,-10050118.293444237,-79963398.39420418,1.3764340563483113
-2081478.95251033,-14377055.51861404,-37374227.24014872,0.7862080850175838
-1044372.9189374372,-15936097.4217823,-24991874.64310821,0.2538535359863638
-19216.62357670162,-17520185.186858807,-12447275.492697176,0.0020991964939563
1005947.3684211076,-19113000.0,0.0,-0.0002536647977207096
-17509287.993392903,1999729.2656763736,-12297578.41358414,7.730638592526827
-19113000.0,3017842.1052630832,0.0,7.45943747144797
-10884694.439831236,-802607.8995351302,-71322157.77000573,10.687885913055172
